id,x,y,end_x,end_y,incident_type,descripcion,title,severity,delay_seconds,is_road_closed,is_traffic_jam,fecha_inicio,fecha_fin,last_modified,region,region_codigo,ciudad,comuna,created_at,ingestion_batch_id,duracion_minutos,hora_del_dia,dia_semana,current_speed_kmh,free_flow_speed_kmh,speed_ratio,road_name,from_street,to_street,length_meters,cause_severity,traffic_road_category,cluster_size,flow_confidence,current_travel_time_seconds,free_flow_travel_time_seconds,road_type,functional_road_class,flow_segment_coordinates,road_closure_type,flow_zoom_level_used,flow_has_coverage
TTI-454083a5-2813-4298-880c-f1329d617cdd-TTL32266412520050000,-70.3921817826,-23.6027204592,-70.3932680773,-23.5841689406,6,Tráfico parado,Calle Cavancha → Avenida Los Tamarugos,3,535.0,False,False,2026-04-23T21:45:09Z,2026-04-23T23:33:36Z,,Antofagasta,2,Antofagasta,,2026-04-23T23:10:20.194351+00:00,batch_1776985820_0,108.45,23,Thursday,,,,1|B-440,Calle Cavancha,Avenida Los Tamarugos,2299.6647894649,,,,,,,,,"LINESTRING(-70.3921817826 -23.6027204592, -70.3921938525 -23.6025809775, -70.3922193335 -23.60241469, -70.3922837066 -23.6021075375, -70.3923293041 -23.6018996965, -70.3923896538 -23.6016837904, -70.3924258636 -23.6015818666, -70.3925063299 -23.6013645774, -70.3926069127 -23.6010977467, -70.3927758919 -23.6007557203, -70.3928389238 -23.6006390486, -70.3930052208 -23.6003560866, -70.393238573 -23.5999980053, -70.3933860945 -23.5997378541, -70.3934464442 -23.5996118109, -70.3940754222 -23.5985254986, -70.3942631768 -23.5982357728, -70.3943704652 -23.5980694798, -70.3945260333 -23.5978576383, -70.3945421265 -23.5978348257, -70.394701718 -23.5976309721, -70.3948666738 -23.5974405599, -70.39497128 -23.5973158202, -70.3952354776 -23.5970274744, -70.3955278384 -23.5967230745, -70.3956860887 -23.5965514028, -70.3958604323 -23.5963596064, -70.3962641047 -23.5959036569, -70.3962962912 -23.5958660963, -70.3965698766 -23.5955401866, -70.3966583895 -23.5954261986, -70.3967334913 -23.5953041454, -70.3967844533 -23.5952088992, -70.3969078349 -23.5949460502, -70.3969574558 -23.5947462631, -70.3970003711 -23.594498161, -70.3970540153 -23.5940274571, -70.3970660852 -23.5935902417, -70.3970848607 -23.5933005051, -70.3970875429 -23.5932683206, -70.3970915662 -23.5932080227, -70.3970848607 -23.5929666005, -70.3970660852 -23.5927506796, -70.3970419453 -23.5926541258, -70.3970204877 -23.5925669431, -70.3970017122 -23.5925160161, -70.3966114508 -23.5917193858, -70.3965081858 -23.5915262766, -70.3960481869 -23.5905687148, -70.3958765255 -23.5902146778, -70.3958134936 -23.5900496805, -70.3955144273 -23.5894394649, -70.3954755353 -23.5893737883, -70.3953226494 -23.5891176104, -70.3951912211 -23.5889244974, -70.3950021254 -23.5886616358, -70.3948264407 -23.5884390249, -70.3946628259 -23.5882311622, -70.3943892406 -23.5878824961, -70.3941022443 -23.5875137033, -70.3940781044 -23.5874828232, -70.3939386295 -23.5872722705, -70.3937924491 -23.5870309141, -70.3936583387 -23.5867586003, -70.3935832368 -23.5865802325, -70.3933351325 -23.585982138, -70.393277465 -23.585805075, -70.393226503 -23.5856334658, -70.393187611 -23.5854899715, -70.3931822466 -23.5851882335, -70.3931822466 -23.5850165467, -70.393201022 -23.5848006128, -70.3932680773 -23.5841689406)",,,
TTI-454083a5-2813-4298-880c-f1329d617cdd-TTL32272183908013000,-70.3937414872,-23.5624766144,-70.3911249923,-23.5623451571,6,Tráfico parado,Avenida Rica Aventura → Avenida Pedro Aguirre Cerda,3,184.0,False,False,2026-04-23T23:02:40Z,2026-04-23T23:29:36Z,,Antofagasta,2,Antofagasta,,2026-04-23T23:10:20.194351+00:00,batch_1776985820_0,26.93,23,Thursday,,,,,Avenida Rica Aventura,Avenida Pedro Aguirre Cerda,267.4871961606,,,,,,,,,"LINESTRING(-70.3937414872 -23.5624766144, -70.3932533251 -23.5624041631, -70.3928818392 -23.5623894116, -70.3925358342 -23.5623800383, -70.3922837066 -23.5623706649, -70.3920141445 -23.562373354, -70.3917445825 -23.5623665929, -70.3914012598 -23.5623465401, -70.3911249923 -23.5623451571)",,,
TTI-454083a5-2813-4298-880c-f1329d617cdd-TTL32272183944027000,-70.3913596855,-23.555571283,-70.3909586953,-23.5652888914,6,Tráfico en cola,Calle Oficina Anita / Calle Sur → Avenida Santiago Humberstone / Calle Caparrosa,2,314.0,False,False,2026-04-23T21:47:39Z,2026-04-23T23:32:36Z,,Antofagasta,2,Antofagasta,,2026-04-23T23:10:20.194351+00:00,batch_1776985820_0,104.95,23,Thursday,,,,,Calle Oficina Anita / Calle Sur,Avenida Santiago Humberstone / Calle Caparrosa,1081.5533310991,,,,,,,,,"LINESTRING(-70.3913596855 -23.555571283, -70.3913570033 -23.5557429315, -70.3913516389 -23.5559347103, -70.3913435923 -23.5561961776, -70.391327499 -23.5565797337, -70.3913234757 -23.5567138859, -70.3913181113 -23.557090756, -70.3913087236 -23.5571899483, -70.3912926303 -23.5574743095, -70.3912336217 -23.5590930281, -70.3912322806 -23.5592526093, -70.3912094818 -23.5596039638, -70.3911907064 -23.5600197026, -70.3911813186 -23.5602637977, -70.3911746131 -23.5603831176, -70.3911786364 -23.5605655162, -70.3911692487 -23.5608256681, -70.3911679076 -23.5609115658, -70.3911451088 -23.5615083148, -70.3911249923 -23.56225127, -70.3911263334 -23.5622969075, -70.3911249923 -23.5623451571, -70.3911249923 -23.562691202, -70.3910928057 -23.5632209471, -70.3910807358 -23.5634314616, -70.3910726892 -23.5635575396, -70.3910619603 -23.5637600632, -70.3910525726 -23.5640054575, -70.3910177039 -23.5644681252, -70.391005634 -23.5646787145, -70.3909989284 -23.5647685279, -70.3909855174 -23.5649509204, -70.3909761297 -23.5650340495, -70.3909734474 -23.5651051933, -70.3909667419 -23.5651842504, -70.3909586953 -23.5652888914)",,,
TTI-454083a5-2813-4298-880c-f1329d617cdd-TTL32272183968027000,-70.3908245848,-23.5667225119,-70.3910150217,-23.5623492292,6,Tráfico lento,Calle Lidia Moreno → Avenida Oficina Petronila,1,140.0,False,False,2026-04-23T22:52:52Z,2026-04-23T23:28:36Z,,Antofagasta,2,Antofagasta,,2026-04-23T23:10:20.194351+00:00,batch_1776985820_0,35.73,23,Thursday,,,,,Calle Lidia Moreno,Avenida Oficina Petronila,487.0121857338,,,,,,,,,"LINESTRING(-70.3908245848 -23.5667225119, -70.3908272671 -23.5665415047, -70.390839337 -23.5661900919, -70.3908433603 -23.5661270926, -70.3908447014 -23.5660319021, -70.3908607947 -23.56567511, -70.3908688413 -23.5655316707, -70.3908835934 -23.5652862024, -70.3908889579 -23.5651896284, -70.3908929812 -23.5651051933, -70.3909010278 -23.5649469253, -70.3909171211 -23.5647444035, -70.3909358965 -23.5644533739, -70.3909721063 -23.5639867111, -70.3909855174 -23.5637358618, -70.3909908818 -23.5635575396, -70.3909949051 -23.5634260834, -70.3910109984 -23.563215569, -70.3910431849 -23.5626858239, -70.3910351383 -23.5625811808, -70.3910150217 -23.5623492292)",,,
TTI-454083a5-2813-4298-880c-f1329d617cdd-TTL32269298232035000,-70.3900869774,-23.5861926928,-70.3909385787,-23.5766494046,6,Tráfico parado,Avenida Juan Bolivar / Calle Cabo Juan Bolivar → Avenida Subteniente Arturo Pérez Canto / Calle Chacalluta,3,360.0,False,False,2026-04-23T21:20:06Z,2026-04-23T23:49:36Z,,Antofagasta,2,Antofagasta,,2026-04-23T23:10:20.194351+00:00,batch_1776985820_0,149.5,23,Thursday,,,,,Avenida Juan Bolivar / Calle Cabo Juan Bolivar,Avenida Subteniente Arturo Pérez Canto / Calle Chacalluta,1064.9105930464,,,,,,,,,"LINESTRING(-70.3900869774 -23.5861926928, -70.3901030706 -23.5860263844, -70.3901419627 -23.5856200228, -70.3901513504 -23.5855167807, -70.3901754903 -23.5854175329, -70.390274732 -23.5839664485, -70.3902800964 -23.5838457673, -70.3902841197 -23.583780011, -70.3902868019 -23.5837478242, -70.3902961897 -23.583617771, -70.3903055774 -23.5835037727, -70.3904075013 -23.5822941094, -70.3904893087 -23.5813029869, -70.3905040609 -23.5811246885, -70.390544294 -23.5806378045, -70.3906301247 -23.5798010018, -70.3906569468 -23.5794697516, -70.3906958388 -23.5789480615, -70.3907025443 -23.5788729306, -70.3907146143 -23.5787750606, -70.3907709407 -23.5782211795, -70.3908272671 -23.5776847347, -70.3908728646 -23.5772596027, -70.3909385787 -23.5766494046)",,,
TTI-454083a5-2813-4298-880c-f1329d617cdd-TTL32251984412030000,-70.3898858117,-23.6409445913,-70.3900816129,-23.6366637778,6,Tráfico parado,Calle Huanchaca → Avenida Antonio Rendic / Calle Montevideo,3,177.0,False,False,2026-04-23T22:51:26Z,2026-04-23T23:28:36Z,,Antofagasta,2,Antofagasta,,2026-04-23T23:10:20.194351+00:00,batch_1776985820_0,37.17,23,Thursday,,,,,Calle Huanchaca,Avenida Antonio Rendic / Calle Montevideo,476.460252691,,,,,,,,,"LINESTRING(-70.3898858117 -23.6409445913, -70.3899609135 -23.639742983, -70.390018581 -23.6386674463, -70.3900816129 -23.6366637778)",,,
TTI-454083a5-2813-4298-880c-f1329d617cdd-TTL32266412568027003,-70.389928727,-23.5892436638,-70.389749019,-23.5920023664,6,Tráfico parado,Avenida Juan Bolivar → Avenida Nicolas Tirado / Calle Nicolas Tirado,3,139.0,False,False,2026-04-23T23:06:30Z,2026-04-23T23:28:36Z,,Antofagasta,2,Antofagasta,,2026-04-23T23:10:20.194351+00:00,batch_1776985820_0,22.1,23,Thursday,,,,,Avenida Juan Bolivar,Avenida Nicolas Tirado / Calle Nicolas Tirado,307.3274199123,,,,,,,,,"LINESTRING(-70.389928727 -23.5892436638, -70.3898992227 -23.5896245885, -70.3898294853 -23.5904935905, -70.3898026632 -23.5909737552, -70.3897905933 -23.5911548055, -70.3897664534 -23.5915732097, -70.3897543834 -23.5918964408, -70.389749019 -23.5920023664)",,,
TTI-454083a5-2813-4298-880c-f1329d617cdd-TTL32266412392021001,-70.3931514012,-23.5923014003,-70.3896538006,-23.5919996779,6,Tráfico en cola,Avenida El Yodo → Avenida Pedro Aguirre Cerda,2,153.0,False,False,2026-04-23T22:49:07Z,2026-04-23T23:28:36Z,,Antofagasta,2,Antofagasta,,2026-04-23T23:10:20.194351+00:00,batch_1776985820_0,39.48,23,Thursday,,,,,Avenida El Yodo,Avenida Pedro Aguirre Cerda,360.0011881521,,,,,,,,,"LINESTRING(-70.3931514012 -23.5923014003, -70.3920570599 -23.5922531616, -70.3916359531 -23.5922343424, -70.3905684339 -23.5921874096, -70.3904665099 -23.5921686671, -70.3903484927 -23.5921149747, -70.3902479099 -23.5920814841, -70.3901352571 -23.5920492993, -70.3900762485 -23.5920318627, -70.3899072694 -23.5920131203, -70.389749019 -23.5920023664, -70.3896538006 -23.5919996779)",,,
TTI-454083a5-2813-4298-880c-f1329d617cdd-TTL32266412484115000,-70.3894647049,-23.597648408,-70.3899890767,-23.5873580741,6,Tráfico parado,Calle Juan Glasinovic / Calle Onix → Avenida Juan Bolivar / Calle Cabo Juan Bolivar,3,431.0,False,False,2026-04-23T21:20:06Z,2026-04-23T23:49:36Z,,Antofagasta,2,Antofagasta,,2026-04-23T23:10:20.194351+00:00,batch_1776985820_0,149.5,23,Thursday,,,,,Calle Juan Glasinovic / Calle Onix,Avenida Juan Bolivar / Calle Cabo Juan Bolivar,1145.8886349479,,,,,,,,,"LINESTRING(-70.3894647049 -23.597648408, -70.38954383 -23.5963984727, -70.3895572411 -23.5959907606, -70.3895706521 -23.5955777473, -70.3895746754 -23.5954530058, -70.3895934509 -23.5947489515, -70.3896028386 -23.5944002259, -70.3896135675 -23.5940073324, -70.3896175908 -23.5938946489, -70.3896229552 -23.5937833479, -70.3896444129 -23.5929209737, -70.3896470951 -23.5927547507, -70.3896497773 -23.59265282, -70.3896551417 -23.5925361411, -70.3896578239 -23.59235371, -70.3896551417 -23.5922289655, -70.3896538006 -23.5919996779, -70.3896618472 -23.5918964408, -70.3896658706 -23.5917623245, -70.3896685528 -23.5915691386, -70.3896765994 -23.5913290959, -70.3896900104 -23.5910769931, -70.3896980571 -23.5909146853, -70.3897047626 -23.5907940105, -70.3897329258 -23.5904895961, -70.3897905933 -23.5898820712, -70.3898107098 -23.5896312714, -70.3898442375 -23.5892316039, -70.3898522841 -23.5891350475, -70.3898589896 -23.5890747477, -70.3898656951 -23.5890197481, -70.3898710595 -23.5888896233, -70.3898750829 -23.5888293234, -70.389889835 -23.5885865872, -70.3899059283 -23.5884390249, -70.3899260448 -23.5882512879, -70.3899421381 -23.5880045562, -70.3899515258 -23.5878758131, -70.3899582313 -23.5877698074, -70.3899890767 -23.5873580741)",,,
TTI-454083a5-2813-4298-880c-f1329d617cdd-TTL32266412604014000,-70.3890798079,-23.5885275162,-70.389889835,-23.5885865872,6,Tráfico en cola,Pasaje Las Golondrinas → Avenida Pedro Aguirre Cerda,2,53.0,False,False,2026-04-23T23:03:32Z,2026-04-23T23:28:36Z,,Antofagasta,2,Antofagasta,,2026-04-23T23:10:20.194351+00:00,batch_1776985820_0,25.07,23,Thursday,,,,,Pasaje Las Golondrinas,Avenida Pedro Aguirre Cerda,82.80574511,,,,,,,,,"LINESTRING(-70.3890798079 -23.5885275162, -70.389889835 -23.5885865872)",,,
